,Default Ensemble Good,Default Ensemble Left,Crossdock Default2018 Ensemble Good,Crossdock Default2018 Ensemble Left,Crossdock Dense Ensemble Good,Crossdock Dense Ensemble Left,General Default2018 Ensemble Good,General Default2018 Ensemble Left,Redock Default2018 Ensemble Good,Redock Default2018 Ensemble Left,All Ensemble Good,All Ensemble Left
0.51,73.50772889417361,98.70892018779342,66.63507109004739,99.06103286384977,69.33081106644596,99.27230046948357,67.93504604944256,96.85446009389669,71.11749222301988,98.09859154929579,73.42224339128363,98.56807511737092
0.52,73.64784369787944,98.52112676056338,66.68247569362106,98.9906103286385,69.34720908230842,99.2488262910798,67.96893957777237,96.73708920187794,71.1888782358581,97.93427230046949,73.42707340324118,98.49765258215963
0.53,73.69300549057054,98.33333333333331,66.73789173789174,98.87323943661973,69.37278106508876,99.17840375586854,68.07682956479455,96.54929577464789,71.26050420168067,97.76995305164318,73.52449223416966,98.2394366197183
0.54,73.74461979913917,98.16901408450704,66.78545972915182,98.80281690140845,69.43852167732764,99.08450704225352,68.2017543859649,96.3380281690141,71.31522000480885,97.62910798122068,73.62742747542555,97.91079812206571
0.55,73.82662835249043,98.02816901408451,66.84898929845421,98.70892018779342,69.50438700497983,98.9906103286385,68.30280830280829,96.12676056338027,71.3941728870696,97.48826291079813,73.69179068650983,97.79342723004694
0.56,73.96208303335733,97.8169014084507,66.91263984765531,98.61502347417841,69.5868945868946,98.87323943661973,68.30520909757887,95.98591549295776,71.48371531966224,97.30046948356808,73.80322347847004,97.58215962441315
0.5700000000000001,73.9798367738838,97.79342723004694,67.04843712717728,98.38028169014083,69.5868945868946,98.87323943661973,68.35784313725489,95.77464788732394,71.5631795119594,97.15962441314554,73.87951807228916,97.41784037558685
0.58,74.06873347752943,97.6760563380282,67.09708273553325,98.16901408450704,69.60341961529328,98.84976525821597,68.40039254170756,95.68075117370891,71.67798254122212,96.8075117370892,73.93296358813599,97.34741784037556
0.59,74.15784408084697,97.5586854460094,67.16990174934101,97.95774647887323,69.62927756653993,98.77934272300469,68.45340545856897,95.46948356807512,71.77242888402627,96.54929577464789,74.15295256534365,96.99530516431923
0.6,74.23475536273801,97.39436619718307,67.29937530033638,97.69953051643192,69.70490242741552,98.63849765258215,68.5911670367629,95.14084507042251,71.86358099878197,96.36150234741785,74.28432799611839,96.7605633802817
0.61,74.35402076793045,97.20657276995304,67.37247353224254,97.5586854460094,69.7308883067397,98.56807511737092,68.70361207323107,94.88262910798124,72.00781631656079,96.10328638497651,74.38579421065434,96.50234741784037
0.62,74.50980392156862,96.9718309859155,67.45419479267116,97.37089201877932,69.79017644253696,98.45070422535211,68.81052892972436,94.53051643192488,72.04406364749082,95.89201877934273,74.55476945596486,96.2206572769953
0.63,74.60009694619488,96.85446009389669,67.51146512189234,97.25352112676056,69.8068208919628,98.42723004694835,69.0042425754929,94.06103286384977,72.06676485026999,95.6338028169014,74.68199608610567,95.962441314554
0.64,74.78725990761002,96.54929577464789,67.59371221281741,97.06572769953051,69.85908765225699,98.28638497652582,69.1305437233776,93.68544600938972,72.36193293885601,95.2112676056338,74.95088408644399,95.58685446009387
0.65,74.95121951219512,96.24413145539906,67.77561923263721,96.66666666666669,69.93542214781154,98.14553990610328,69.32361076188081,93.35680751173707,72.51360712518557,94.88262910798124,75.03692762186115,95.35211267605636
0.66,75.12851897184822,95.89201877934273,67.97465269315136,96.31455399061035,69.98563906175204,98.07511737089202,69.45986875315498,93.00469483568077,72.61668321747766,94.55399061032864,75.16679021497406,95.0
0.67,75.3259532595326,95.42253521126759,68.13509544787078,95.91549295774648,70.02874940105414,97.98122065727699,69.61704286076589,92.5586854460094,72.73406374501991,94.27230046948357,75.39682539682539,94.64788732394364
0.68,75.4754260311188,95.04694835680752,68.20525411244782,95.61032863849763,70.15606242496999,97.76995305164318,69.79352536324241,92.08920187793429,72.89742949837785,94.06103286384977,75.79315513364976,93.96713615023474
0.6900000000000001,75.64420218037661,94.74178403755869,68.43665102494442,95.04694835680752,70.25986525505293,97.5586854460094,70.03073770491804,91.64319248826293,73.0827067669173,93.66197183098593,75.8854559155991,93.45070422535211
0.7000000000000001,75.758329189458,94.41314553990613,68.61966236345582,94.55399061032864,70.33734939759036,97.41784037558685,70.20838693079496,91.24413145539906,73.40398687862731,93.02816901408451,76.22660596863935,92.8169014084507
