,CD_good,CD_left,Def2017_good,Def2017_left,Dense_good,Dense_left,Gen_good,Gen_left,RD_good,RD_left
0.8,70.42907898332878,85.89201877934272,55.11832691249312,85.30516431924883,67.08768520767549,96.64319248826291,70.54157549234135,85.82159624413146,75.30555555555556,84.50704225352112
0.81,71.16188353301756,84.24882629107981,55.2990264255911,84.38967136150235,67.3011224987799,96.19718309859155,70.7802988378528,84.83568075117371,75.54744525547446,83.6150234741784
0.8200000000000001,71.76136363636364,82.62910798122066,55.52423900789177,83.28638497652582,67.36739183573698,96.03286384976526,71.04085058757694,83.89671361502347,76.06155599886007,82.37089201877934
0.8300000000000001,72.24797219003476,81.03286384976526,55.77803203661327,82.06572769953053,67.54106398627114,95.75117370892019,71.23015873015873,82.8169014084507,76.29757785467129,81.40845070422536
0.84,72.82640730916593,79.64788732394366,56.06852497096399,80.84507042253522,67.76737309019222,95.25821596244131,71.60565004324013,81.4319248826291,76.62452219935312,79.83568075117371
0.85,73.34137515078407,77.84037558685446,56.36471284783896,79.29577464788733,68.0565897244974,94.57746478873239,71.80087847730601,80.16431924882629,77.28091236494598,78.21596244131456
0.86,73.63861386138613,75.86854460093898,56.520432692307686,78.12206572769954,68.44211052763191,93.87323943661971,72.2255369928401,78.68544600938966,77.75397796817626,76.71361502347418
0.87,74.24920127795527,73.47417840375586,56.87290460225542,77.01877934272301,68.98031297324584,93.00469483568075,72.61650929028328,77.06572769953051,78.27586206896552,74.88262910798123
0.88,75.04970178926442,70.84507042253522,57.276702061211736,75.16431924882629,69.25624044829343,92.15962441314554,73.09612983770288,75.21126760563381,78.56912665162746,72.84037558685445
0.89,76.01794340924776,68.02816901408451,57.662835249042146,73.52112676056338,69.67276475135274,91.10328638497653,73.71630295250321,73.14553990610328,78.97350993377484,70.89201877934272
0.9,76.80635838150289,64.97652582159624,58.36087243886319,71.03286384976526,70.36358880460372,89.74178403755869,74.20529801324504,70.89201877934272,79.2795883361921,68.42723004694837
0.91,77.7274443186108,62.18309859154929,59.29596719070403,68.68544600938968,70.94882729211088,88.07511737089202,74.32200480604189,68.38028169014085,80.02148227712136,65.56338028169014
0.92,78.579928599762,59.178403755868544,60.106951871657756,65.84507042253522,71.65804519466377,86.22065727699531,74.58899213724088,65.68075117370891,80.69251035001882,62.370892018779344
0.93,79.67032967032966,55.539906103286384,60.62291434927698,63.30985915492958,72.46295778585406,83.96713615023475,75.31978931527465,62.394366197183096,81.65395423524689,58.47417840375587
0.9400000000000001,80.89318600368324,50.985915492957744,61.20283018867924,59.71830985915493,73.50402761795168,81.59624413145539,76.35924285138945,58.28638497652582,82.27524499360887,55.093896713615024
0.9500000000000001,82.17413704276146,45.563380281690144,61.72891313470416,55.93896713615023,74.6036494166916,78.47417840375587,77.05703090988246,53.92018779342723,83.96982555398397,49.7887323943662
0.96,83.026706231454,39.55399061032864,61.984237366713025,50.63380281690141,75.97588067280229,73.96713615023475,79.05372104484968,47.629107981220656,85.09052183173588,44.08450704225352
0.97,84.1874084919473,32.06572769953052,63.6411889596603,44.225352112676056,78.125,67.6056338028169,80.66010422698321,40.539906103286384,85.93059936908517,37.20657276995305
0.98,86.84759916492693,22.48826291079812,65.1208360548661,35.93896713615023,80.76443705857915,56.50234741784037,82.01492537313433,31.455399061032864,88.7881286067601,28.474178403755868
0.99,88.45360824742268,11.384976525821596,64.88203266787659,25.868544600938968,85.69587628865979,36.431924882629104,84.98023715415019,17.816901408450704,91.22807017543859,16.056338028169016
